Algo used is LL
Format is [code,time,jobid,M/none,W/none]
['11', '15:00:14', '15', 'M0', '1']
['21', '15:00:14', '12', None, None]
['11', '15:00:14', '15', 'M1', '1']
['11', '15:00:14', '15', 'M2', '1']
['10', '15:00:14', '16', None, None]
['20', '15:00:14', '13', 'M2', None]
['11', '15:00:15', '13', 'R0', '1']
['20', '15:00:15', '15', 'M2', None]
['20', '15:00:16', '14', 'M0', None]
['11', '15:00:16', '14', 'R0', '1']
['20', '15:00:16', '15', 'M0', None]
['20', '15:00:16', '15', 'M1', None]
['11', '15:00:16', '16', 'M0', '1']
['11', '15:00:16', '16', 'M1', '1']
['11', '15:00:16', '15', 'R0', '1']
['20', '15:00:17', '14', 'R0', None]
['11', '15:00:17', '16', 'M2', '1']
['10', '15:00:17', '17', None, None]
['21', '15:00:17', '14', None, None]
['20', '15:00:17', '16', 'M0', None]
['20', '15:00:17', '15', 'R0', None]
['21', '15:00:17', '15', None, None]
['20', '15:00:18', '13', 'R0', None]
['21', '15:00:18', '13', None, None]
['20', '15:00:18', '16', 'M1', None]
['11', '15:00:19', '17', 'M0', '1']
['11', '15:00:19', '17', 'M1', '1']
['11', '15:00:19', '17', 'M2', '1']
['11', '15:00:19', '17', 'M3', '1']
['10', '15:00:19', '18', None, None]
['20', '15:00:20', '16', 'M2', None]
['20', '15:00:20', '17', 'M0', None]
['11', '15:00:20', '16', 'R0', '1']
['11', '15:00:20', '16', 'R1', '1']
['20', '15:00:20', '17', 'M1', None]
['20', '15:00:21', '16', 'R0', None]
['20', '15:00:21', '17', 'M2', None]
['11', '15:00:21', '18', 'M0', '1']
['10', '15:00:21', '19', None, None]
['11', '15:00:21', '19', 'M0', '1']
['11', '15:00:21', '19', 'M1', '1']
['20', '15:00:22', '19', 'M1', None]
['20', '15:00:23', '17', 'M3', None]
['20', '15:00:23', '19', 'M0', None]
['11', '15:00:23', '17', 'R0', '1']
['11', '15:00:23', '17', 'R1', '1']
['11', '15:00:23', '19', 'R0', '1']
['20', '15:00:24', '16', 'R1', None]
['21', '15:00:24', '16', None, None]
['20', '15:00:24', '18', 'M0', None]
['20', '15:00:24', '17', 'R0', None]
['20', '15:00:24', '17', 'R1', None]
['21', '15:00:24', '17', None, None]
['11', '15:00:24', '18', 'R0', '1']
['20', '15:00:27', '19', 'R0', None]
['21', '15:00:27', '19', None, None]
['20', '15:00:28', '18', 'R0', None]
['21', '15:00:28', '18', None, None]
